"isocode"	"year"	"month"	"ged_best_ns"	"ged_best_os"	"ged_best_sb"	"best"
"AFG"	1989	1	0	0	714	714
"AFG"	1989	2	0	0	160	160
"AFG"	1989	3	0	0	1744	1744
"AFG"	1989	4	0	0	494	494
"AFG"	1989	5	6	0	448	454
"AFG"	1989	6	0	0	495	495
"AFG"	1989	7	42	0	578	620
"AFG"	1989	8	185	0	225	410
"AFG"	1989	9	0	0	71	71
"AFG"	1989	10	0	0	239	239
"AFG"	1989	12	4	0	6	10
"AFG"	1990	1	0	0	25	25
"AFG"	1990	2	0	0	54	54
"AFG"	1990	3	0	0	149	149
"AFG"	1990	4	0	0	489	489
"AFG"	1990	5	0	0	8	8
"AFG"	1990	7	0	0	95	95
"AFG"	1990	9	16	0	0	16
"AFG"	1990	10	20	0	631	651
"AFG"	1990	11	0	0	27	27
"AFG"	1991	1	0	0	25	25
"AFG"	1991	2	0	0	5	5
"AFG"	1991	3	0	0	1765	1765
"AFG"	1991	4	0	0	310	310
"AFG"	1991	5	0	0	234	234
"AFG"	1991	7	200	0	82	282
"AFG"	1991	8	40	0	320	360
"AFG"	1991	9	0	0	51	51
"AFG"	1991	10	0	0	208	208
"AFG"	1991	11	11	0	279	290
"AFG"	1991	12	0	0	23	23
"AFG"	1992	1	0	2	0	2
"AFG"	1992	2	0	0	35	35
"AFG"	1992	3	0	0	5	5
"AFG"	1992	4	0	0	799	799
"AFG"	1992	5	0	5	94	99
"AFG"	1992	6	0	0	182	182
"AFG"	1992	7	0	0	161	161
"AFG"	1992	8	0	0	2694	2694
"AFG"	1992	9	0	1	67	68
"AFG"	1992	10	0	0	150	150
"AFG"	1992	12	90	0	100	190
"AFG"	1993	1	0	0	1180	1180
"AFG"	1993	2	0	26	531	557
"AFG"	1993	3	0	0	30	30
"AFG"	1993	4	0	0	37	37
"AFG"	1993	5	0	0	1034	1034
"AFG"	1993	6	0	0	51	51
"AFG"	1993	7	0	0	372	372
"AFG"	1993	8	0	0	272	272
"AFG"	1993	9	0	0	75	75
"AFG"	1993	10	0	0	168	168
"AFG"	1993	11	0	0	306	306
"AFG"	1993	12	8	0	15	23
"AFG"	1994	1	0	0	6266	6266
"AFG"	1994	2	0	0	260	260
"AFG"	1994	3	3	0	223	226
"AFG"	1994	4	24	0	457	481
"AFG"	1994	5	1	0	147	148
"AFG"	1994	6	0	0	393	393
"AFG"	1994	7	25	0	162	187
"AFG"	1994	8	0	0	276	276
"AFG"	1994	9	0	0	483	483
"AFG"	1994	10	16	0	199	215
"AFG"	1994	11	50	0	55	105
"AFG"	1994	12	0	0	16	16
"AFG"	1995	1	0	0	294	294
"AFG"	1995	2	50	4	275	329
"AFG"	1995	3	0	0	756	756
"AFG"	1995	4	0	0	1027	1027
"AFG"	1995	5	0	0	1044	1044
"AFG"	1995	6	0	0	321	321
"AFG"	1995	7	0	0	239	239
"AFG"	1995	8	0	0	280	280
"AFG"	1995	9	24	0	105	129
"AFG"	1995	10	16	0	629	645
"AFG"	1995	11	0	0	406	406
"AFG"	1995	12	25	0	123	148
"AFG"	1996	1	5	5	99	109
"AFG"	1996	2	310	0	121	431
"AFG"	1996	3	30	0	155	185
"AFG"	1996	4	1	0	389	390
"AFG"	1996	5	0	0	233	233
"AFG"	1996	6	0	5	192	197
"AFG"	1996	7	0	32	119	151
"AFG"	1996	8	0	0	88	88
"AFG"	1996	9	0	4	550	554
"AFG"	1996	10	0	1	513	514
"AFG"	1996	11	0	0	649	649
"AFG"	1996	12	25	0	69	94
"AFG"	1997	1	0	0	69	69
"AFG"	1997	2	0	0	182	182
"AFG"	1997	3	0	0	280	280
"AFG"	1997	4	0	0	191	191
"AFG"	1997	5	0	0	3703	3703
"AFG"	1997	6	0	0	605	605
"AFG"	1997	7	0	0	192	192
"AFG"	1997	8	2	0	210	212
"AFG"	1997	9	0	323	383	706
"AFG"	1997	10	0	0	425	425
"AFG"	1997	11	0	0	58	58
"AFG"	1997	12	0	0	98	98
"AFG"	1998	1	8	600	34	642
"AFG"	1998	2	0	0	65	65
"AFG"	1998	3	101	8	194	303
"AFG"	1998	4	0	0	15	15
"AFG"	1998	5	0	0	69	69
"AFG"	1998	6	0	0	106	106
"AFG"	1998	7	0	2	425	427
"AFG"	1998	8	0	5000	2148	7148
"AFG"	1998	9	0	69	1119	1188
"AFG"	1998	10	0	60	572	632
"AFG"	1998	11	0	70	376	446
"AFG"	1998	12	0	0	1133	1133
"AFG"	1999	1	0	0	175	175
"AFG"	1999	2	0	0	3	3
"AFG"	1999	3	0	0	47	47
"AFG"	1999	4	0	0	113	113
